name,team,battingStyle,bowlingStyle,playingRole
VijayShankar,Titans,Right hand Bat,Right arm Medium,Allrounder
JoshLittle,Titans,Right hand Bat,Left arm Fast medium,Bowler
AlzarriJoseph,Titans,Right hand Bat,Right arm Fast,Bowler
KhaleelAhmed,Capitals,Right hand Bat,Left arm Medium,Bowler
PrabhsimranSingh,Punjab Kings,Right hand Bat,,Wicketkeeper Batter
ShikharDhawan,Punjab Kings,Left hand Bat,Right arm Offbreak,Opening Batter
MatthewShort,Punjab Kings,Right hand Bat,Right arm Offbreak,Top order Batter
JiteshSharma,Punjab Kings,Right hand Bat,,Wicketkeeper Batter
SamCurran,Punjab Kings,Left hand Bat,Left arm Medium fast,Allrounder
SikandarRaza,Punjab Kings,Right hand Bat,Right arm Offbreak,Batting Allrounder
MShahrukhKhan,Punjab Kings,Right hand Bat,Right arm Offbreak,Batter
HarpreetBrar,Punjab Kings,Left hand Bat,Slow Left arm Orthodox,Bowler
RahulChahar,Punjab Kings,Right hand Bat,Legbreak Googly,Bowler
NathanEllis,Punjab Kings,Right hand Bat,Right arm Fast medium,Bowler
MohitRathee,Punjab Kings,Right hand Bat,Legbreak,Allrounder
HarryBrook,Sunrisers,Right hand Bat,Right arm Medium,Batter
MayankAgarwal,Sunrisers,Right hand Bat,Right arm Offbreak,Batter
WashingtonSundar,Sunrisers,Left hand Bat,Right arm Offbreak,Bowling Allrounder
UmranMalik,Sunrisers,Right hand Bat,Right arm Fast,Bowler
ArshdeepSingh,Punjab Kings,Left hand Bat,Left arm Medium fast,Bowler
KyleMayers,Super Giants,Left hand Bat,Right arm Medium,Batting Allrounder
QuintondeKock,Super Giants,Left hand Bat,,Wicketkeeper Batter
DeepakHooda,Super Giants,Right hand Bat,Right arm Offbreak,Allrounder
MarcusStoinis,Super Giants,Right hand Bat,Right arm Medium,Batting Allrounder
NicholasPooran,Super Giants,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
AyushBadoni,Super Giants,Right hand Bat,Right arm Offbreak,Batter
SwapnilSingh,Super Giants,Right hand Bat,Slow Left arm Orthodox,Bowler
KrunalPandya,Super Giants,Left hand Bat,Slow Left arm Orthodox,Allrounder
RaviBishnoi,Super Giants,Right hand Bat,Legbreak Googly,Bowler
MohsinKhan,Super Giants,Left hand Bat,Left arm Medium fast,Bowler
AveshKhan,Super Giants,Right hand Bat,Right arm Fast medium,Bowler
YashThakur,Super Giants,Right hand Bat,Right arm Fast medium,Bowler
NehalWadhera,Mumbai,Left hand Bat,Legbreak,Top order Batter
ReeceTopley,RCB,Right hand Bat,Left arm Fast medium,Bowler
AkashDeep,Super Kings,Right hand Bat,Right arm Fast medium,Bowling Allrounder
HarshalPatel,RCB,Right hand Bat,Right arm Medium,Bowler
JofraArcher,Mumbai,Right hand Bat,Right arm Fast,Bowler
TristanStubbs,Mumbai,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
RaghavGoyal,Mumbai,Left hand Bat,Left arm Wrist spin,Bowler
AkashMadhwal,Mumbai,Right hand Bat,Right arm Medium fast,Bowler
GlennPhillips,Sunrisers,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
PrerakMankad,Super Giants,Right hand Bat,Right arm Medium,Allrounder
YudhvirSingh,Mumbai,Right hand Bat,Right arm Medium fast,Bowler
AmitMishra,Super Giants,Right hand Bat,Legbreak,Bowler
NarayanJagadeesan,KKR,Right hand Bat,,Opening Batter
DavidWiese,KKR,Right hand Bat,Right arm Medium fast,Allrounder
UmeshYadav,KKR,Right hand Bat,Right arm Fast,Bowler
KulwantKhejroliya,KKR,Left hand Bat,Left arm Medium fast,Bowler
VijaykumarVyshak,RCB,Right hand Bat,Right arm Medium,Bowler
HimanshuSharma,RCB,Right hand Bat,Legbreak,Bowler
KedarJadhav,RCB,Right hand Bat,Right arm Offbreak,Batting Allrounder
WaninduHasaranga,RCB,Right hand Bat,Legbreak,Allrounder
ChrisJordan,Mumbai,Right hand Bat,Right arm Fast medium,Bowler
KumarKartikeya,Mumbai,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin",Bowler
JoshHazlewood,RCB,Left hand Bat,Right arm Fast medium,Bowler
PhilSalt,Capitals,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
RipalPatel,Capitals,Right hand Bat,Right arm Medium fast,Middle order Batter
IshantSharma,Capitals,Right hand Bat,Right arm Fast medium,Bowler
RiyanParag,Royals,Right hand Bat,Legbreak,Top order Batter
AdilRashid,Sunrisers,Right hand Bat,Legbreak,Bowler
TrentBoult,Royals,Right hand Bat,Left arm Fast medium,Bowler
NavdeepSaini,Royals,Right hand Bat,Right arm Fast,Bowler
MandeepSingh,KKR,Right hand Bat,Right arm Medium,Allrounder
ShahbazAhmed,RCB,Left hand Bat,Slow Left arm Orthodox,Allrounder
DavidWilley,RCB,Left hand Bat,Left arm Fast medium,Bowling Allrounder
TimSouthee,KKR,Right hand Bat,Right arm Medium fast,Bowler
KaranSharma,Super Giants,Right hand Bat,Right arm Offbreak,Allrounder
KrishnappaGowtham,Super Giants,Right hand Bat,Right arm Offbreak,Bowling Allrounder
Naveen-ul-Haq,Super Giants,Right hand Bat,Right arm Medium fast,Bowler
AtharvaTaide,Punjab Kings,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder
LiamLivingstone,Punjab Kings,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder
HarpreetSingh,Punjab Kings,Left hand Bat,Right arm Medium,Batter
ArjunTendulkar,Mumbai,Left hand Bat,Left arm Medium fast,Bowler
MayankDagar,Sunrisers,Right hand Bat,Slow Left arm Orthodox,Bowler
AbhinavManohar,Titans,Right hand Bat,Legbreak Googly,Batting Allrounder
KLRahul,Super Giants,Right hand Bat,,Wicketkeeper Batter
JayantYadav,Titans,Right hand Bat,Right arm Offbreak,Bowler
BenStokes,Super Kings,Left hand Bat,Right arm Fast medium,Allrounder
MitchellSantner,Super Kings,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
MarkWood,Super Giants,Right hand Bat,Right arm Fast,Bowler
RajvardhanHangargekar,Super Kings,Right hand Bat,Right arm Fast medium,Bowling Allrounder
VivrantSharma,Sunrisers,Left hand Bat,Legbreak Googly,Allrounder
KuldipYadav,Royals,Left hand Bat,Left arm Fast medium,Bowler
MuruganAshwin,Royals,Right hand Bat,Legbreak Googly,Bowler
ObedMcCoy,Royals,Left hand Bat,Left arm Fast medium,Bowler
BhanukaRajapaksa,Punjab Kings,Left hand Bat,Right arm Medium,Top order Batter
RishiDhawan,Punjab Kings,Right hand Bat,Right arm Medium fast,Allrounder
AnukulRoy,KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder
SuyashPrabhudessai,RCB,Right hand Bat,Right arm Medium,Batting Allrounder
NitishKumarReddy,Sunrisers,Right hand Bat,Right arm Medium fast,Batting Allrounder
KartikTyagi,Sunrisers,Right hand Bat,Right arm Fast,Bowler
RomarioShepherd,Sunrisers,Right hand Bat,Right arm Fast medium,Bowling Allrounder
JaydevUnadkat,Super Giants,Right hand Bat,Left arm Medium,Bowler
DwainePretorius,Super Kings,Right hand Bat,Right arm Medium fast,Bowling Allrounder
LockieFerguson,Titans,Right hand Bat,Right arm Fast,Bowler
AbdulBasith,Royals,Right hand Bat,Right arm Offbreak,Allrounder
MananVohra,Super Giants,Right hand Bat,Right arm Medium,Opening Batter
PriyamGarg,Capitals,Right hand Bat,Right arm Medium,Top order Batter
VishnuVinod,Mumbai,Right hand Bat,,Wicketkeeper Batter
ChetanSakariya,Capitals,Left hand Bat,Left arm Medium fast,Bowler
LittonDas,KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
KagisoRabada,Punjab Kings,Left hand Bat,Right arm Fast,Bowler
PraveenDubey,Capitals,Right hand Bat,Legbreak Googly,Bowler
DuanJansen,Mumbai,Right hand Bat,Left arm Fast,Bowler
AkealHosein,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Bowler
GurnoorBrar,Super Giants,Left hand Bat,Right arm Fast,Bowler
DarshanNalkande,Titans,Right hand Bat,Right arm Fast medium,Bowler
